id,fid,type,NAME,if_si,geometry
351,79483,alcohol_store,"ProWine's",false,POINT(30.3288702 59.962210400000004)
150,34285,alcohol_store,Vinissimo,false,POINT(30.315866900000007 59.9653379)
327,78020,amusement_arcade,Побег Гудини,false,POINT(30.316469300000005 59.96328230000002)
202,45709,antique_shop,,false,POINT(30.310012 59.966755899999995)
418,89056,artwork,,false,POINT(30.312438 59.9631938)
233,52960,artwork,,false,POINT(30.313348900000005 59.9637371)
332,78678,artwork,,false,POINT(30.313395900000007 59.963264)
236,52963,artwork,,false,POINT(30.3126217 59.963336200000015)
415,89053,artwork,,false,POINT(30.312529600000005 59.9633174)
420,89058,artwork,,false,POINT(30.313426800000002 59.96328599999999)
413,88628,artwork,Карп,false,POINT(30.327656 59.96787139999999)
232,52959,artwork,,false,POINT(30.313027200000004 59.963613200000005)
235,52962,artwork,Скрипка-яблоко,false,POINT(30.313416500000002 59.96346659999999)
414,89052,artwork,,false,POINT(30.312781700000006 59.96321410000001)
234,52961,artwork,Скрипка-сфинкс,false,POINT(30.313777499999997 59.963306)
495,136018,artwork,Разводной мост,false,POINT(30.332387800000003 59.96706850000001)
449,109347,artwork,Печальный ангел,false,POINT(30.315891200000003 59.96770209999999)
170,36955,artwork,Композиторы,false,POINT(30.3137104 59.96310249999999)
225,52363,artwork,"Змея, обвивающая ножку чаши",false,POINT(30.322397000000002 59.96449710000002)
237,52964,artwork,,false,POINT(30.312530200000005 59.963122299999995)
198,45705,atm_cash_machine,,false,POINT(30.309993600000002 59.9669452)
214,50058,atm_cash_machine,,false,POINT(30.311680700000004 59.96634110000001)
213,50057,atm_cash_machine,,false,POINT(30.311672700000003 59.96634980000001)
218,50062,atm_cash_machine,Сбербанк,false,POINT(30.311602800000003 59.96642540000001)
193,44759,atm_cash_machine,,false,POINT(30.3190768 59.96164450000001)
441,102402,atm_cash_machine,Банк Санкт-Петербург,false,POINT(30.316306 59.96060580000002)
245,55143,atm_cash_machine,,false,POINT(30.322713800000002 59.96670399999999)
298,71807,atm_cash_machine,,false,POINT(30.3165008 59.9603985)
217,50061,atm_cash_machine,Сбербанк,false,POINT(30.311560200000002 59.96641860000002)
471,122046,atm_cash_machine,ВТБ,false,POINT(30.315169200000007 59.9616218)
216,50060,atm_cash_machine,Сбербанк,false,POINT(30.3115388 59.96641519999999)
142,33517,atm_cash_machine,Сбербанк,false,POINT(30.3204713 59.96449929999999)
244,55142,atm_cash_machine,Сбербанк,false,POINT(30.322110600000002 59.96516600000002)
212,50056,atm_cash_machine,ВТБ,false,POINT(30.311656300000006 59.96636750000001)
411,87982,atm_cash_machine,Тинькофф Банк,false,POINT(30.310130000000004 59.96681450000001)
221,51816,atm_cash_machine,Альфа-Банк,false,POINT(30.308880499999997 59.96816649999999)
122,31131,atm_cash_machine,Уралсиб,false,POINT(30.319985500000005 59.96369779999999)
211,50055,atm_cash_machine,ВТБ,false,POINT(30.311664 59.9663592)
483,129117,atm_cash_machine,,false,POINT(30.310010600000005 59.96606340000001)
292,70913,atm_cash_machine,,false,POINT(30.315800100000004 59.96531179999999)
108,27826,atm_cash_machine,ЮниКредит Банк,false,POINT(30.311343500000003 59.96665200000002)
2,540,atm_cash_machine,,false,POINT(30.3118987 59.966079000000015)
372,80820,atm_cash_machine,,false,POINT(30.3162838 59.9606393)
476,124070,attraction,Двор «Летучая мышь»,false,POINT(30.311980100000007 59.966437200000016)
290,70153,bakery,Булочная Ф. Вольчека,false,POINT(30.3142722 59.9656742)
442,103041,bakery,Булочная Ф. Вольчека,false,POINT(30.313099400000002 59.96446070000001)
561,152214,bakery,Хлебник,false,POINT(30.312256700000002 59.96761849999999)
240,53220,bakery,Булка хлеба,false,POINT(30.313150600000004 59.96389310000001)
552,149370,bakery,Штрогель,false,POINT(30.317633500000003 59.96200290000001)
479,124688,bakery,Тили-тесто,false,POINT(30.3129911 59.96649690000002)
375,83028,bank,Сбербанк,false,POINT(30.309678799999997 59.96813679999999)
312,74393,bank,Санкт-Петербургский банк инвестиций,false,POINT(30.318894500000003 59.9619964)
50,4791,bank,Абсолют,false,POINT(30.3136623 59.966459)
119,30332,bank,Россельхозбанк,false,POINT(30.3168036 59.9606592)
121,30870,bank,Сбербанк,false,POINT(30.316513800000003 59.96038490000001)
40,4714,bank,Траст,false,POINT(30.313515900000002 59.9671997)
18,3505,bank,Сбербанк,false,POINT(30.3095715 59.968187400000005)
13,1990,bank,Глобэкс,false,POINT(30.309426700000003 59.96829800000001)
247,55452,bank,Газпромбанк,false,POINT(30.313741100000005 59.96668010000001)
276,65243,bank,Альфа-Банк,false,POINT(30.308841400000006 59.9683559)
278,65245,bank,ВТБ,false,POINT(30.315139700000003 59.961660200000004)
1,336,bank,Сбербанк,false,POINT(30.3130356 59.9640079)
513,140500,bank,Деньга,false,POINT(30.310763100000003 59.9662442)
80,10907,bank,Банк Санкт-Петербург,false,POINT(30.316281900000003 59.9606244)
77,10838,bank,ВТБ,false,POINT(30.316022900000004 59.964931500000006)
376,83029,bank,Сбербанк,false,POINT(30.309795500000003 59.968206300000006)
154,34542,bar,KillFish,true,POINT(30.313778300000006 59.966726)
403,85286,bar,The Office,true,POINT(30.3149219 59.9673047)
51,4792,bar,Дубай,true,POINT(30.313188999999998 59.9662123)
406,85954,bar,Darmagi,true,POINT(30.308715300000006 59.96844080000001)
