fid,type,if_si,name,geometry
281,administrative,false,Администрация Кировского района,POINT(347661.64244069665 6642766.602254536)
281,administrative,false,Администрация Кировского района,POINT(347728.3461771353 6642825.206091826)
281,administrative,false,Администрация Кировского района,POINT(347744.20607032365 6642817.342528658)
281,administrative,false,Администрация Кировского района,POINT(347751.0541077574 6642793.298727347)
281,administrative,false,Администрация Кировского района,POINT(347816.2710247867 6642790.400527237)
281,administrative,false,Администрация Кировского района,POINT(347792.2197668848 6642783.57874584)
281,administrative,false,Администрация Кировского района,POINT(347768.16965034336 6642776.75293856)
281,administrative,false,Администрация Кировского района,POINT(347782.0743481139 6642759.237806112)
86547,administrative,false,КЦСОН,POINT(347520.86024563515 6641823.821170513)
281,administrative,false,Администрация Кировского района,POINT(347766.39522984147 6642745.619347123)
281,administrative,false,Администрация Кировского района,POINT(347760.5382474824 6642765.540800503)
281,administrative,false,Администрация Кировского района,POINT(347825.44509628747 6642821.844062017)
39043,administrative,false,Единый миграционный центр,POINT(347514.0452778791 6641794.255362677)
281,administrative,false,Администрация Кировского района,POINT(347832.29030035785 6642797.799453864)
35842,administrative,false,Муниципальный совет и местная администрация МО МО Екатерингофский,POINT(347544.3378963197 6643833.257421541)
35556,administrative,false,Муниципальный совет и местная администрация МО МО Нарвский округ,POINT(346848.81257347553 6642698.139282265)
281,administrative,false,Администрация Кировского района,POINT(347819.64312431426 6642784.619278036)
67,administrative,false,Администрация округа,POINT(346837.667312519 6642689.353594596)
67,administrative,false,Администрация округа,POINT(346856.36423069343 6642691.707818598)
67,administrative,false,Администрация округа,POINT(346859.89436243736 6642707.32660706)
67,administrative,false,Администрация округа,POINT(346835.26712641225 6642703.025532105)
384,administrative,false,Пенсионный фонд,POINT(347356.87293620466 6641809.68239673)
384,administrative,false,Пенсионный фонд,POINT(347366.41467613046 6641739.285117876)
384,administrative,false,Пенсионный фонд,POINT(347344.1761969834 6641750.706589024)
384,administrative,false,Пенсионный фонд,POINT(347333.20949635474 6641765.636493238)
384,administrative,false,Пенсионный фонд,POINT(347345.04121627973 6641787.659444984)
384,administrative,false,Пенсионный фонд,POINT(347411.2000215346 6641776.8405231135)
384,administrative,false,Пенсионный фонд,POINT(347398.10860404203 6641790.448957407)
384,administrative,false,Пенсионный фонд,POINT(347375.4519473301 6641801.016639586)
384,administrative,false,Пенсионный фонд,POINT(347398.8552559924 6641755.101741764)
384,administrative,false,Пенсионный фонд,POINT(347385.8673877589 6641736.800938512)
281,administrative,false,Администрация Кировского района,POINT(347801.0893300216 6642789.967438789)
281,administrative,false,Администрация Кировского района,POINT(347777.0384112915 6642783.14444031)
281,administrative,false,Администрация Кировского района,POINT(347765.71563782083 6642799.16627238)
281,administrative,false,Администрация Кировского района,POINT(347758.8713061659 6642823.211128882)
281,administrative,false,Администрация Кировского района,POINT(347770.2606660527 6642837.08427017)
281,administrative,false,Администрация Кировского района,POINT(347794.3160077476 6642843.891658505)
281,administrative,false,Администрация Кировского района,POINT(347806.72644084983 6642829.306076077)
281,administrative,false,Администрация Кировского района,POINT(347813.75452198397 6642805.315559733)
281,administrative,false,Администрация Кировского района,POINT(347742.5027050874 6642773.3575594975)
281,administrative,false,Администрация Кировского района,POINT(347718.4517144453 6642766.534814512)
281,administrative,false,Администрация Кировского района,POINT(347704.491673378 6642777.8141389135)
281,administrative,false,Администрация Кировского района,POINT(347697.647699854 6642801.859097354)
281,administrative,false,Администрация Кировского района,POINT(347746.12820187217 6642770.506599556)
281,administrative,false,Администрация Кировского района,POINT(347722.07478585566 6642763.6924101)
71793,administrative,false,ГУП Ленводхоз,POINT(347743.08933804836 6643422.980054428)
281,administrative,false,Администрация Кировского района,POINT(347712.79545950796 6642748.631394893)
281,administrative,false,Администрация Кировского района,POINT(347719.64108622924 6642724.586907067)
281,administrative,false,Администрация Кировского района,POINT(347722.69387852727 6642702.6575360885)
281,administrative,false,Администрация Кировского района,POINT(347706.82710569515 6642710.520730524)
281,administrative,false,Администрация Кировского района,POINT(347707.1922848324 6642730.551660376)
281,administrative,false,Администрация Кировского района,POINT(347692.68408253393 6642742.62661625)
281,administrative,false,Администрация Кировского района,POINT(347668.3791281715 6642744.9056832045)
281,administrative,false,Администрация Кировского района,POINT(347704.2951923624 6642818.3833261505)
